Product,Link,Stars,Reviews,Prime Availability,Price,Shipping,Total Cost
Oddworld: Soulstorm Day One Oddition (PS4) - PlayStation 4,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01344801MQXONC6FWGV5&url=%2FOddworld-Soulstorm-Day-One-Oddition-PlayStation%2Fdp%2FB0915VD2F4%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dps4%2Bvideo%2Bgames%26qid%3D1626663775%26sr%3D8-1-spons%26psc%3D1&qualifier=1626663775&id=5465148323625008&widgetName=sp_atf,3.9,10,Y,49.88,,49.88
Marvel's Spider-Man: Miles Morales - PlayStation 4,https://amazon.com/Marvels-Spider-Man-Miles-Morales-Playstation-4/dp/B08QFXCNNZ/ref=sr_1_2?dchild=1&keywords=ps4+video+games&qid=1626663775&sr=8-2,4.7,120,Y,49.0,,49.0
Ghost of Tsushima - PlayStation 4,https://amazon.com/Ghost-Tsushima-PlayStation-4/dp/B08BSKT43L/ref=sr_1_3?dchild=1&keywords=ps4+video+games&qid=1626663775&sr=8-3,4.9,9628,N,39.88,FREE Shipping by Amazon,39.88
Marvel's Spider-Man: Miles Morales Launch Edition - PlayStation 4,https://amazon.com/Marvels-Spider-Man-Miles-Morales-Launch-PlayStation/dp/B08JHVG9ZJ/ref=sr_1_4?dchild=1&keywords=ps4+video+games&qid=1626663775&sr=8-4,4.8,13360,Y,49.0,,49.0
Five Nights at Freddy's: The Core Collection (PS4) - PlayStation 4,https://amazon.com/Five-Nights-Freddys-Core-Collection-PlayStation/dp/B08L93C4KV/ref=sr_1_5?dchild=1&keywords=ps4+video+games&qid=1626663775&sr=8-5,4.6,430,Y,33.99,,33.99
Star Wars: Squadrons - PlayStation 4,https://amazon.com/Star-Wars-Squadrons-PlayStation-4/dp/B089F7Y472/ref=sr_1_6?dchild=1&keywords=ps4+video+games&qid=1626663775&sr=8-6,4.5,3627,N,19.99,FREE Shipping,19.99
Rust - PlayStation 4,https://amazon.com/Rust-PlayStation-4/dp/B091DWY16F/ref=sr_1_7?dchild=1&keywords=ps4+video+games&qid=1626663775&sr=8-7,4.0,45,Y,49.99,,49.99
Assassin’s Creed Valhalla PlayStation 4 Standard Edition with Free Upgrade to the Digital PS5 Version,https://amazon.com/Assassins-Valhalla-PlayStation-Standard-upgrade-4/dp/B087XTT5GZ/ref=sr_1_8?dchild=1&keywords=ps4+video+games&qid=1626663775&sr=8-8,4.7,10611,Y,49.94,,49.94
Days Gone - Playstation 4,https://amazon.com/Days-Gone-Playstation-4/dp/B01GW8XRCG/ref=sr_1_9?dchild=1&keywords=ps4+video+games&qid=1626663775&sr=8-9,4.6,10477,Y,26.34,,26.34
Chivalry 2 - PlayStation 4,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0236090WDFCUK0RERRE&url=%2FChivalry-2-PlayStation-4%2Fdp%2FB08C7PWNFV%2Fref%3Dsr_1_10_sspa%3Fdchild%3D1%26keywords%3Dps4%2Bvideo%2Bgames%26qid%3D1626663775%26sr%3D8-10-spons%26psc%3D1&qualifier=1626663775&id=5465148323625008&widgetName=sp_mtf,4.5,26,Y,29.99,,29.99
Madden NFL 21 – PlayStation 4 & PlayStation 5,https://amazon.com/Madden-NFL-21-PlayStation-4/dp/B089DFJJGR/ref=sr_1_11?dchild=1&keywords=ps4+video+games&qid=1626663775&sr=8-11,4.7,9713,Y,16.68,,16.68
Mafia Definitive Edition - PlayStation 4,https://amazon.com/Mafia-Definitive-PlayStation-4/dp/B088MX9L66/ref=sr_1_12?dchild=1&keywords=ps4+video+games&qid=1626663775&sr=8-12,4.6,1348,Y,19.99,,19.99
It Takes Two - PlayStation 4,https://amazon.com/Takes-Two-PlayStation-4/dp/B08Q43BKHG/ref=sr_1_13?dchild=1&keywords=ps4+video+games&qid=1626663775&sr=8-13,4.8,283,Y,29.99,,29.99
Jurassic World Evolution - PlayStation 4 Edition,https://amazon.com/Jurassic-World-Evolution-PlayStation-4/dp/B07CCBRLJR/ref=sr_1_14?dchild=1&keywords=ps4+video+games&qid=1626663775&sr=8-14,4.5,2009,N,19.99,FREE Shipping on orders over $25 shipped by Amazon,19.99
"AR Blaster - 360° Augmented Reality Video Game - Smart Phone Toy Gun Controller for iPhone & Android phones - Bluetooth 4.2 - for Boys and Girls, Kid's, Teens and Adults",https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07039952U65OHGXFLYH0&url=%2FAR-Blaster-Augmented-Reality-Controller-Bluetooth%2Fdp%2FB0762T1YYK%2Fref%3Dsr_1_15_sspa%3Fdchild%3D1%26keywords%3Dps4%2Bvideo%2Bgames%26qid%3D1626663775%26sr%3D8-15-spons%26psc%3D1&qualifier=1626663775&id=5465148323625008&widgetName=sp_mtf,3.3,43,Y,20.24,,20.24
Marvel's Spider-Man: Game of The Year Edition - PlayStation 4,https://amazon.com/Marvels-Spider-Man-Game-Year-PlayStation-4/dp/B07WLT1C27/ref=sr_1_16?dchild=1&keywords=ps4+video+games&qid=1626663775&sr=8-16,4.8,14417,Y,29.49,,29.49
LEGO Star Wars: Force Awakens Deluxe Edition - PlayStation 4,https://amazon.com/LEGO-Star-Wars-Awakens-Deluxe-PlayStation/dp/B01BCMBK1W/ref=sr_1_17?dchild=1&keywords=ps4+video+games&qid=1626663775&sr=8-17,4.7,1516,Y,29.02,,29.02
Mafia Trilogy (PS4),https://amazon.com/Mafia-Trilogy-PS4-playstation-4/dp/B088X7PJWF/ref=sr_1_18?dchild=1&keywords=ps4+video+games&qid=1626663775&sr=8-18,4.6,1359,Y,48.7,,48.7
Nier Replicant Ver.1.22474487139... - PlayStation 4,https://amazon.com/Nier-Replicant-Ver-1-22474487139-PlayStation-4/dp/B08K265NX3/ref=sr_1_19?dchild=1&keywords=ps4+video+games&qid=1626663775&sr=8-19,4.6,721,Y,39.99,,39.99
