Product,Link,Stars,Reviews,Prime Availability,Price,Shipping,Total Cost
Transformers Studio Series 86-06 Leader The The Movie Grimlock and Autobot Wheelie,https://amazon.com/Transformers-Studio-Grimlock-Autobot-Wheelie/dp/B08KYGS4CL/ref=sr_1_1?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-1,4.8,511,Y,60.08,,60.08
"Transformers Toys Studio Series 86 Voyager Class The The Movie 1986 Autobot Hot Rod Action Figure - Ages 8 and Up, 6.5-inch",https://amazon.com/Transformers-Studio-Voyager-Autobot-Action/dp/B08KYG1MNM/ref=sr_1_2?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-2,4.8,562,Y,29.63,,29.63
"Transformers Toys Studio Series 71 Deluxe Class Dark of The Moon Autobot Dino Action Figure - Ages 8 and Up, 4.5-inch",https://amazon.com/Transformers-Studio-Deluxe-Autobot-Action/dp/B08KYG4TVZ/ref=sr_1_3?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-3,4.6,55,Y,19.99,,19.99
"Transformers Toys Studio Series 86 Voyager Class The Transformers: The Movie 1986 Scourge Action Figure - Ages 8 and Up, 6.5-inch",https://amazon.com/Transformers-Toys-Studio-Voyager-Class/dp/B08KYFQ3WP/ref=sr_1_4?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-4,4.8,403,N,59.77,FREE Shipping,59.77
"Transformers Toys Studio Series 86-01 Deluxe Class The The Movie 1986 Autobot Jazz Action Figure - Ages 8 and Up, 4.5-inch",https://amazon.com/Transformers-Studio-Deluxe-Autobot-Action/dp/B08KYJW2F5/ref=sr_1_5?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-5,4.8,445,N,19.99,FREE Shipping on orders over $25 shipped by Amazon,19.99
"Transformers Toys Studio Series 72 Voyager Class Bumblebee Starscream Action Figure - Ages 8 and Up, 6.5-inch",https://amazon.com/Transformers-Studio-Voyager-Bumblebee-Starscream/dp/B08M23SZK8/ref=sr_1_6?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-6,4.8,52,Y,29.52,,29.52
Transformers Studio Series 09 Voyager Class Movie 2 Thundercracker,https://amazon.com/Transformers-Studio-Voyager-Class-Thundercracker/dp/B07BNT2R4L/ref=sr_1_7?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-7,4.7,393,Y,39.99,,39.99
"Transformers Toys Studio Series 86-02 Deluxe Class The The Movie 1986 Kup Action Figure - Ages 8 and Up, 4.5-inch",https://amazon.com/Transformers-Studio-Deluxe-Action-Figure/dp/B08KZ6ZYD5/ref=sr_1_8?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-8,4.7,577,Y,19.99,,19.99
"Transformers Toys Studio Series 49 Deluxe Class Movie 1 Bumblebee Action Figure - Kids Ages 8 & Up, 4.5""",https://amazon.com/Transformers-Studio-Deluxe-Bumblebee-Action/dp/B07VVRJNDW/ref=sr_1_9?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-9,4.3,2748,Y,19.99,,19.99
Transformers Studio Series 05 Voyager Class Movie 2 Optimus Prime,https://amazon.com/Transformers-Studio-Voyager-Class-Optimus/dp/B072QWP8MT/ref=sr_1_10?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-10,4.5,1842,Y,87.95,,87.95
